statement,status
sit everyday acomplish time bed cry wonder alive scrol find aid asist suicide try suicide hotlines able help hang father snap cal ugly start question deserve live everyday degrade lok aware teth roten gap midle teth obese skin ilneses cause lok disgusting wrinkly skin tone dark meaning ugly ugly death sentence wish facade care people think true noti have health isues aford doctor therapy anxiety single day slep recur nightmares ned medication single pil gag reflexes anxiety prety sure undiagnose adhd want doctor fear force pils medicinemy parents mad able cripling depresion agoraphobia extreme want outside want anybody fel ashamed parents lok hate body barely care body anymore hate itif acomplishment finish colege bachelors fine arts get life able ilustrations clients able focus motivate cause extreme distres debt work owe clients complete mater hard try try recently aply dream job manage lay days bos want travel world instead work stick cripling student debt way pay backal tel failure human parents constantly tel sister talk anymore close friends irl stop talk colege try ask help say suicidal lose say  okay lose hope fel like care want waste space anymore body die hope improve anytime son dreams wishes life want know want work ethics want healthy want fel like belong hard wishes dreams life want,Suicidal
ruin life ned change title say ruin life make fel like life worth live obses wory browse internet  past wek go wory brain tumours ms early onset parkinsons liver cancer blod cancer meneire disease diabetes ilneses like life know kid woried health semi sick child life threaten horible se therapist help go weks months ago begin get vertigo doctor tel iner ear problem thing anxiety completely spiral control stop think  wrong wory dizy longer minutes weks rom spin vertigo go leave random dizy spels disequilibrium unsteadines convince doctor mis agre blod work bok mri overly concerned say wait mri get news blodwork aparently normal expect  elevate cut prety unusual  normaly low take  suplements go try asume cause nurse tel blod results doctor folow know stop take suplement course crazy self go gogle find high  indicative blod liver cancers cue freak living like know folow  go sit want browse internet hopes make fel beter reality sit think bodily sensation wory fel balance wory sinister go picture horible scenarios go hapen go die young sufer leave children motherles ampxb change blod cancer liver cancer curent fear like wory go away day like search answers constantly scared bok apointment psychologist wednesday vow gogle answers know fel god start ampxb people cure health anxiety tips comiseration helpful,Anxiety
legit fuck terms comp sci job prospects grad schol get ride scholarship come shity liberal arts colege spend fuck years get major complete projects portfolio research papers writen meaningful projects involve in job training cs job experience piece paper computer science itliteraly bulshit clases major encourage shitload busy work meaningful learning experiences land job clasmates high schol involve cs universities build biger portfolio year despite work as freshman year working hours day bulshit degre parties drank met friends hw day day morning definitely go transfer inability get grad schols low as aceptance rates people like clasmates hs aply get easily fucking portfoliosi plan hang home graduation berate daily come get job education parents  years try build portfolio conversation today fuck write shit freshman year receive help academic counselor find atainable internship oportunities ways build portfolio outside colege instead waste time meting freshman year talk felings act fucking therapist try find grad schols actualy help compile list explore options basic things academic counselors help colege student end live parents graduate strugle quant verbal gre entrance exam know rely schols want higher quant parents rats as way education help anyways finish grade schol know go life leave fucking place kil regret day come pay way colege like go local university hs friends go kil graduation,Suicidal
post complain rude begin understand exactly wife alive control litle control scant years say leave try years tel isue god maybe physical things anymore example yardwork wife go quietly second gueses cat outside insist know ask let let nope god go concrete porch shaky legs clumsy slipers brick steps gues control cat cat aware cats move insist change like house son talk change buy new scof idk go waste money new tv year old box tv fine oh mean lousy picture complain have program guide perfectly fine tv mention get new kitchen trash design hold trash rom kitchen gues old perfectly fine plenty rom old perfectly fine want replace shades blinds say old ones perfectly fine true tear springs shot wife daughter hang hum bird feder go buy second wife lader mount lower area day yesterday drag lader climb feder higher wear house slipers robe fal age end oh forget important lower feder idea want want badly say want regret say charge careful fod shoping talk mis drive trouble hear yel point cat phone walker etc right way go drive say explain year old man fucking obsesion control think chief priority stay alive long frustrate shit pis depresed want slep day event thanks read rant hope love awesome day say godfather lol control,Depression
date girl ha go wrong grow time thing change get group people want longer time second hapen lose forever fault usualy ve stop get hope know work  like  destine like friend high schol conect didn  care maybe met new people reason anytime interesting hapen wa wa go anytime usual boring shit  crazy hapen start go colege recently wa hope met people friend thing like go event regularly atend clas love talk met people place right place right time moment close fuck hapen download date aps try met people know wouldn  suces short medium atractive guy maybe match wek wa lucky  send couple mesage wek finaly get  contact info set plan date wasn  particularly interested girl wa exit finaly date clas time plan didn  mater mis thing finaly go night sudenly remember supose close morning check phone block didn  fel  think  angry probably decide minute didn  want  tired  try  kil wek maybe put  actualy met  endles cycle depresion hard cause depresed supose break cycle ve try medication efect therapy ve try therapist ve tel bul shit ve hear don  want die nice thing work cycle  change don  way break thing like forever bother continue sory absolute wal text actualy read col gues ned write thought go na slep bye tl dr god fucking hate,Depression
uncontrolable hiv anxiety new redit apologise post litle place strugle forever anxiety year old girl jada jada troubled childhod absent parents etc think contribute past weks uterly destroy anxiety hiv diagnose ocd depresion past have intrusive thoughts convince deaths dor panickingly gogle symptoms basicaly met lovely guy hit go lovely dates day wek character get drunk slep kind sex interested barely remember day know remember get home let cue panic go breakfast folow day ask say prety ofended ofend ofended say think hiv proced pester morning test people slep physicaly eat days spend days have sick anxiety make nauseous shake constantly wake night hot sweat end spend hours wait ampe pep exagerate guys parent ghanaian nigerian bear cuba say ghanaian know high rate remember doctor say okay risk start cry exhausted malnourished fel uterly convince point guy question lovely know anxious pick folow day local clinic prove curently take pep friends think hilarious anxious honestly anxiety kil zone god minutes straight think think things like actualy get previous partner guy tatos test hiv take lovely dates want fal find truth blod test end january clear blod test ampe fine test negative water infection think water infection start sneze convince flu like symptoms spot body convinced rash start sufer scared negative result anxiety continue,Anxiety
break psych apointment today regret monthly psych apointment hours ago come depresion get progresively worse past days ruminate freak read meds internet ask cocktail way start se year half ago got discharge hospital read list imediately start cry come remember miserable mg olanzapine mg lithium forget efexor anafranil terible place year constantly try work meds get unstable anytime try fel pleasure tired time lose interest hobies life fel stupid dumb numb lose libido emotionaly flatline fucking grandfather die fel fel hopeles job take year away schol suck hard lethargy tremors year half later cocktail completely diferent manageable mg lamictal mg prozac mg olanzapine tapering think ad welbutrin break regret time waste depresion numbnes pain meds supose fel beter remember initialy previous doctor outpatient sugest maybe lower dose switch diferent ap decline regret regret get lamictal shot initialy hospitalize try days mom think get bad reaction regret take stimulants smoke pandemic hapen stupid mistake lead trauma colectively result episode want forward fel like years ago psych say brain constantly change grow healing want old brain care grow want fel fel break right sesion end hard dad talk fel bad parents past years second leave absence schol sure position fel like ruin life forward mater god new meds treatment mind forget medication cocktail doses wreck,Bipolar
honestly fel like live hel create father negligent bother spend time blame fact lok unaproachable day owe mother  child suport mother abuse abuse physicaly mentaly remember young want shower want hair wet solution risk hypothermia kep shower freze water honestly day get get fact time mean raise years old get tantrums set threaten knock teth finaly move shity fight fel like place home place fel like home romates guys live hasle pick dog mes fur pick dog pop outside second person believe talk problems away eventualy resort cal childish imature frustrated pick clean dishes dishwasher cok etc leave lights night know raise electrical bil honestly fel like maybe cause problems understand people fel like right mom use punch bag mother pas away grandmother pas away couple weks ago closer have try locate job have deal constant thoughts anymore try hard reason want live want fail love want grow old want try new fods new things leave finish read webcomics listen songs colide mars unlike pluto finish favorite games recognize pain transfer family thought sound like blisful idea make fel like finaly peacei cry anymore fel hopeles sufer finaly fel lonely deal fact emotionaly fuck wish know things beter want things change know start hold know soner later let turning day fel like burden,Suicidal
bipolar relationship strugle hi year old female diagnose diferent psychiatrists bipolar type impatient curently treat mental ilnes therapy medication lithium streamline fel god manageable decent time enter relationship months hard know explain reality perception constantly compromise mental state fel like dream snap come fel like hapen leave love confused hurt scared recognize se glimpse miror scary fel like person anxiety ups downs bring lead want impulsive decisions cut love include boyfriend fel cozy setle scare hapy moments send fear make want run want leave fel tear want care want lot love comfort human rom reasure control make fel ground overide emotional ilusions misconceptions leave simer sorow days days month sentence fel like break reactions fel like end life come close ecspecialy involve negative fail perception fel like sorow constant confusion frustration pure exhaustation brain impose want die lot think regularly fel guilty resentful hurt care wish got murder frankly control nice bluntly fel want know real identity try pretend isues fuly invest love work fel like earn aceptance work life personal life burden mental ilnes places know love productive get things goal orientate fucking pised fel like failure especialy mental ilnes damages days weks months worth plans goals want know hear people understand know talk want deal fel like literaly crazy times thank,Bipolar
hi relate deply lot posts page like ofer encouragementhere long period time complete isolation pandemic isolate turn negative things cope depresion lonelines like mind numb television alcohol hang people toxic fear aloneafter years therapy growth want share words encouragement lonely hearts lt afraid totaly normal reason fel share felings se hear way ned se hear hope post help conect way know go similar thing grow love respect require time spend person time fal love grow great respect people value talk act etc diference grow self love amp self respect spend time grow love respect time se oportunity lok way fel meditate minutes day journale shadow work exercises help shadow work exercise help learn spiritual journey therapy lok miror ask questions surprised come start hobies aford end flop okay thing remember time time hopefuly realize time give oportunity want recharge protect energy people quick defend talk negatively eg friend say ugly fat worthles imediately tel plethora compliments negate negative self talk fed fed kind defend tel have bad day know beterthese things help journey fel lonely hope things help ltldr youtube video topics video tel story pros benefits spending time finish friendly sugestions find video search kely guidance stop fel spiritual chat you send love light remember kind day time friendly sugestions fel lt,Depression
experience tramadol past wek prescribe tablets tramadol unrelated post treatment painkiler fel completely diferent hard explain basicaly arguments stresful situations unsetle able stay calm focused fel anger emotion know angry brain calm acept anger pasive acknowledge productive great spirits norm opioid ve diagnose ve lie depresion quizes hospital truth couple weks ago hit mod swings depresion normal realize completely hapy god point hapy hyper organize house dep clean workout single day basicaly check symptom mania times paint write exercise eat cok hel tackle projects outside hard time fal aslep excited projects ve bad instances alcohol times feling cockines recklesnes act ways ashamed depresion come low long slep couch day lose weight constantly wepy angry like work energy dep clean create mod swings ve cal come bouts weks months ocasionaly like mention result argument incredibly stupid have tol mariage family curious medications have similar efect tramadol read completely agre folowing fact reason people like take tramadol people work antidepresant produce euphoria energy unlike opioids tend people drowsy lead recreationaly people work live daily lives blogiodinecom obviously go prescription refil nt ned cautions like say read completely understand danger take opioids temporary strong painkiler tldr   hesitant step geting diagnose treat suspect bipolar disorder god experience unrelated painkiler like hear people self diagnose treatments relate experience,Bipolar
triger warning ms woried colon cancer rough year admit ha bad family get results mri test sure gogle symptoms time especialy enflame lesions cause chronic nausea month lead finaly start gogle journey begin rabit hole diferent problems posibly get double vision convinced esophagus cancer crazy gogle stuf time cry things wory til fal aslep expect new thing cal ms se pas actualy go end crazy single expect fuel worse anxiety try figure curent bowel problems plague diagnosis year today job find go way take mg linzes day deal constipation decide fun day bathrom day actualy end go start have lower right dul pain halfway newfound constipation tel linzes help decide try help wek vaguely aware try convince drink water help supose linzes risk dehydrate hard tmi nervous desire opinions stols pale light lot time yelow white mucus cover half float half times bled litle past time lot bright red glop blod right hemorhoid usualy fel kind discomfort dul pain abdomen lower usualy recently blod test take say blod count low ms reasons try cut red meats get iron right symptoms line anemia woried compare help repeat words mri scared panic cry cal mom go tel neurologist tomorow ofer guidance hope unlucky get incredibly rare health problems age form damn year know start deal,Anxiety
get pregnant birth control junior high schol find pregnant far daughter month turn best raise dad physicaly verbaly emotionaly abusive help care pay child suport visitation deal himi daughter dad get party live abroad date want want finish high schol work go colege life cycle mom schol mom work mom cok mom slep mom repeat past years think deserve sympathy choices bring daughter owe heri completely lose depresed social life high schol friends hobies time stretch marks sagy breasts pregnant hate body colege experience online clases care daughter work work remotely daughter remote learning covid daughter dad barely use visitation hate have deal abuser want block life constantly remind abusei amazing boyfriend make fel hapy alive love daughter love scared go ruin make depresed kids scared go tired take care kid go find kids rarely time adult things admit jealous want fun wish high pay job get travel wish job like wish trips instead stick boring low pay remote job deal abusive ex rest lifei love daughter fel guilty say want enjoy mom badly hard sad want maried kids entire life envision life mom notice depresed say therapy help agre ned therapy know mom ofer care daughter temporarily establish carer enjoy spend time boyfriend healthy hapy horible mom know anymore single mom strugle,Depression
mental deterioration past days fel burgeon hatred warp beliefs normaly empathetic kind person punish constant mistakes apologizes constantly hurt hurt person overly sensitive criticism talk person fel hurt reconcile easy take conversation god hatred warp completely diferent person hard time empathize afect criticism emotions girlfriend best friend cry fel felings comfort genuinely best friend cry fel note say fel normal fel like fel like care history mental ilnes psychiatrist think bipolar suspect supose lithium stop take days ago changes hapen lithium present past lithium medication wilpower fel bost go gym train beter consistently shower regularly work meditate slep beter impulse control calmer fel faze anxiety fear sadnes usual depresion things find slightly disturbing list people know day write hate conclude worthles far people longer fel slightest bit atachment write thoughts fel like tel hesitate mock laugh weaknes tel truth truth painful swalow fel like darker self gradualy take control moments life take complete control cause havoc mind consequences younger steal money cause parents stres grow older grow calmer scheming extent consciously manifest take control sugest rational decisions late ambitious deal traumatic represed memories apear smirk miror mock apear dreams hunt corn life slowly break hahaha fel right slowly kil wonder longer leave caloused unemotional monster best friend tel fake deply disturb hel go,Bipolar
lot like self reflect past things go great friends care motivation pursue knowledge world sense view diferent set eyes unfortunately god things come end point life realize things efort go meaning systems cause distres curency kil people divide nations simultaneously provide rich people bunch excesive waste resources tel desire unrealistic unecesary point hapines price price turn face away unpleasant ignore truth blindly folow corporate orders home paycheck way livewe potential great lot inteligent empathic hapy people reasons give point able live amazing lives believe lot able lot people sub young competitive nature academic world put great presure young people god thing fact fuly develop means hope bodies brains behave weird unpredictable ways truth know lot like oposite point chemical balance restore learn time pas like person make beter tackle tough times mean lives altered way damage believe psyche surpas terms importance unhapy human barely human make roten negativity contagious tough unfair batle listen ned day wek year time life short shorter constant despairfinaly let remember people fight hard nature time despite great eforts life simply let grief hapen let instead remember people inteligent love care world instead trap dark hole give tunel visionkep fighting stay strong let nature dictateno promise get beter worse know life store let apreciate god days god days come,Depression
partner  undiagnose anxiety think take tol ruin romantic relationships rear ugly head try place blame anxiety ned iti obsesively check partners location find know work home sisters etc ocur recently say wory past partners night hang friends drinks overwhelming feling go find beter bring home unfaithful thought make stomach turn want able tel likely head think help curent partner bipolar manic episodes sex drive elevate scare ned scratch itch mad dep rabit hole pile crap work retail ofice job hours night try busy imagine sneak work speak work fairly new job management position talk move new store posibly state step carer wise years get obligations chalenging pack new state hapen lately fel like wiling drop like sack potatoes ofer come upits recur argument time workjust present day days tax talk recently come priorities order carer carer relationship relationship carers fel like wiling compromise ask multiple times wiling know plan want future want consider think future crazy right icing cake develop litle bit wed adiction problem work uncle sam act like child high try try chil like high time fel like wory elseso yeah act like child high rest time hold swet swet release know point rant confesion rant want hear validate maybe lok like outsideask questions clarification want fel like anxiety ruin life,Depression
theme life end schol big changes scare fel sad schol end friends move away life routine change completely remember fel big void life depresion years bachelor experience fulfil social life progres mucheventualy get internship hate couple weks fear change wrong turn best thing hapen years get work experience routine great friend love people months come end feling emptines crep start masters degre new city scared unhapy wrong semester god decent friends pandemic hapen honestly mentaly fine expectations able talk schol friends online get great grades start depen friendships new city socialy fantastic uni friends best friends care ton lot streses year include write thesis job search consider positive streses things comon drinks hang time motivate talk problems livesi finish thesis masters degre asume pas weks ago feling come hate despite streses hapy couple years masters fel like life change fel comfortable friend wek vacation suport system right get job line diferent city hour away start september goal terms time locationit anoy fel like acounts life prety god get great friends suportive parents great education strugle financialy moment get lots oportunities ahead say escape feling emptines experience big change life fel friends lives plan isue kep plan unsure future negative big changesis life diferently openings oportunities instead threats avoid fel sad life change significantly,Depression
exactly title say holow grey inside single soul expres truly fel turn wek wish exist luck motherfuckin sperm actualy get eg build girl brand new basement get know mom fal love things go great chose man okay expect damn thing anybody owe shit temporary company help comfort pain slightly stick work break job general contractor pops company underpaid hel age work make money get bad lower pain col  pops understand ned sacrifice things start second year university september study suply chain management force schol solely mom okay gues il degre hapy year covid study highest level profesional day trading education posible value lift healthy incorporate gym  wek hard whatsoever pray ask jesus lord bring women life grace sad know answer prayers care man fel alienated human society botle stres get vitiligo slave work damn day fel like progres geting acomplish break break lonely sad hurt angry fragile try hardest batle dificult man sink pick man friends ditch reason run damn contracting busines dad literaly soul brutal work break fuck tho fel like work hours day try stock trading lose dad lifes presure man want damn hug like hapines finish pray sign pray god turn life oficialy hit rock man godnight hopefuly tomorow god day markets hopefuly retire herniate disc sad lonely hurt,Depression
advice tw self harm bad thoughts sure sory uh fel anxious thr past weks probably sily cut ago snd think get low point probably por emotional regulation stuf kinda ned talk start academic workload increase past weks research paper group stres um overthinke fail god leader afect clasmates grades thought rid family tre project mom family close dad family exactly switch family uh problem mom problems family want bring put want upset thought make anxious litle things exams quizes presentations etc fail quiz time years teacher get upset kinda panic try review haha birthday come catering thing go problems payment stuf mom mistake outside manager ask payment got stres money manager exactly coperative insistent payment yeah mom get angry kinda blame cause like idea catering thing promise care fault like push contact manager situation mesy stres anxiety horay gues preparations stuf want help busy schol home time outside ned stres mom think reason get angry want wait wekends actualy able stuf scholarship tests take make nervous pas dificult colege becaude family financialy stable presure think have trouble identify fel want break lol hard fal aslep fel like rest minutes fal aslep try prolong long posible think afraid wake tomorow mean resolve yeah uh gues sory negative advice especialy slep thing welcome thanks,Anxiety
hey fel god talk people sufer depresion talk internet best budy psychiatrist parent people know  fel  beter way talk anonymous internet hope anyways  year severe depresion ha develop chain dumb decision lead place  thing  change  simply forget whel time spin  interesting year old believe sufer severe depresion year later start year ago year old graduate schol sucesfuly posibility like world wa open luxury people sadly don  wa dumb clearly ahead think want life love end know think year old self know  hard figure tel year old self think chase dream especialy wa time path walk wa prety dark criminal glance apear particularly dark manage scare away people retrospect great budy friend girlfriend relationship like old saying worst enemy  true experience far know kind depresion depresion geneticaly biologicaly cause depresion product bad experience decision let  reactive depresion imagine wa second punch previous year wa textbok example bad decision worst mental image alternate reality didn  decide way wa smarter know  mental image doesn  fel way worst thing  devil chain bad experience lead fel worse people learn hide depresion smile joke win  realize truely fel don  gift usualy bad mod perceive unfriendly person lead social alienation depresion worse  get worse year interestingly come homeles live stret half year point don  want live anymore want forget,Depression
non epileptic atack disorder nead rare large comunity posible contenders basicaly disociation tactic brain employ cause fainting apear seizure case faint rigid shake jerk tension eyes flicker try work fog body shake make far way sound rouse rigorous taping shake minutes leave truly pas near coma like slep hours include face pudle smoking yard work luckily touch hypothermia result danger atempt break fal pas hit head problem fortunately bruises cuts major concusion injuriesit cause abnormal electrical activity brain like real epilepsy respondent medication esentialy psychosomatic problem require cbt order retrain brain stop pul colapse stunt everytime fel like ned disociate take weks intensive cbt therapy hospital uk unit conditions historic bethlem royal hospital infamous bedlam able bring seizures wek recovery time form hours big improvement make get work dificult stop work seizures regularly mean force mis cut short work shifts frequent fear work thing hapen let force scramble cover know hot tel employer yeah colapse home depresion absolute hold life pile depresion amazed able find partner want long term relationship go get lucky god thing force live parents work earn money places covid set put work long time bad eat save sick sick hold fel extra presure guy work like make money claim disability payments dumb condition neuroscientists hear nead conditions disociation,Depression
woried galblader bmi super active god eat fods fiber bad sugar habit oral contraceptive tri lo sprintec cut calories weks lose weight plus iregular eating habits tendencies skip meals put risk galstones think sunday notice sharp pains right ribcage totaly abnormal time sharper deper normal last like minute hapen times leave fel litle chily reason brain imediately think galblader pains got work rest wek panic time pain sensation area fairly make wonder psychosomatic actualy wrong pangs radiate shoulder arm convince galblader panic tmi considerable gas bloat wek wake nauseous normal morning indigestion stomach pains bit eat stop eat stuf lot fat sugar hopes atack worse experience sunday fact cut fat completely afraid eat go checkup thursday doctor order blodtests ultrasound uper right quadrant get results get clinic day information doctor want share go voicemail cal imediately answer ad wory ad wory urine darker normal sign galblader dysfunction read though bets lunch panic entire wek know stres ive change diet get take care terified have atack awry hapen blod result ultrasound scared reasons have galblader ive major surgery hear chronic digestive isues people remove think definitely sound beter have infected galblader explode inside want vent ive internet kep psyche think end give symptoms dom glom normaly convince relax woried wrong time know intuition,Anxiety
buly like life diferent think pre defined mindset believe hapy like care think etc bulshit afirmations work work change lifeverythe somebody explanation brain way suplements afirmations meditations drugs therapies significant changeif physicaly change life stay samebeing buly leave unconscious shame state folow easiest reliable way live trauma cope strategies cope strategies videogames social mediathe bad thing life circumstances react lock cope away adictions perform compulsions evade cost change somethingbe clever start recognise cope strategies comit anymore afirmations necesary brain sort things itselfcope strategies basicaly fel god imediately smartphone fod drugs try stop cope alow ask help eyes know dohow heal circumstances wayou notice life silent lonely demons lock away learn regulate emotions shame key emotion mental ilnes prevalent nowadays sequence usualy go traumagtshamegtcope strategiesgtadictionsgtdepresion ocd anxiety borderline extreme narcism mental ilnes end depend person ocd compulsive information sek grandiose narcisists completely ignore problem daily life afirmation social mediathat thing self estem ned reasonarcisism ned reason multiple times day  brain ned emotional regulation perform instant reward cope strategies instead desperate advice seriously enjoyable life likewhat instant rewards acesible ancient times people evolve probably die want work long term goals instant rewards responsible mental healthget internet use important things buy old phone internet parents house learn live depend people hapines help anyways problems cause,Depression
flirt concept suicide life experience brief bouts suicidal ideation manifest response brashly reactionary radicaly honest believe scared actualy folow act means end brief stints sily sound help lot se real real person like redact hobies talents upcoming trips calendar obligations actualy excel show makings future people active life theirs hate actualy alright person minute oh talente have hobies have suportive circle people value etc sure things absolutely take grant course mandatory prerequisites order future worth live natural end stuf hapen life hapen blah blah blah supose use phrasing but regard think topic suicide merely try understand simple fact actualy suicidal person exist mental block sorts prevent mind fuly go grasp concept satisfactionow fast forward lately cros line sorts maybe loses life pile high maybe agoraphobic tendencies isolate world fuck shit brain maybe batle iv heroin adiction years extent recognize know iswhen come subject suicide context anyoneit fear unease surfaces initialy emotions come response lack afraid act suicide inocent introspection ponder husband comit suicide decade ago instead experience anticipatory excitement sensation similar feling underwater know able come air son frenzied eagernes relief gues cost yank stering whel find vein pump lethal opioids intothe internal monologue basicaly go like finaly stop loudnes end sharp edges existence cease experience epitome true nothingnes words paradise read,Suicidal
male get dream education right work young people  live parent multitude reason anymore year year aimles find dream job nice girl great chemistry live flat grade praxis go great get profesional help major mental breakdown year ago live like plant get severe depresion constant panic atack panic atack rare know triger deal confident get reflect mes childhod problematic personality trait couple wek ago start fel anxious tho far usual afraid die stupid bodily reason tense ache stomach neck heart beat fast time time afraid girlfriend leave  anxious god tel god lately act distant show afection way isn  god aswel reason fel bad afraid big reason wa confront lot anxiety relate isue logicaly win  leave give thoughtful present care remind eat mis behave distant  triger hard toxic relationship wa decide talk anxiety anymore don  want lay tel abandonment isue leave don  want fel bad everytime behave distant isue selfish hel tel win  stop love nt expres anxiety worst thing doesn  want speak  bother doesn  want think fel like  fel like ashole center world yeah long story short abandonment isue worst thing right decide bother  fair don  know deal oh isue wouldn  bad weren  anxious general general anxiety come practical education don  know god wek  met hope okay afraid sabotage ruin relationship anxiety away,Depression
time know wrong know think hate body think sad boy like like think sad parents understand things tel people ask okay care truth fel try pretend care things normal people pretend long end believe lies touch felings idea actualy depresed think live life way supose live fel right take future seriously fact take life seriously got arest shoplifting friend cry start laugh care care studies god grades ask fel hapy proud god grade real life project expectations future live time let people decide want motivate child like draw read write things motivate anymore think hapy partie drank  smoke wed hang friends think hapy things fel alive pretend live diferent life think fuck think normal want know people depresed experience life diferently seriously care things everytime bad hapen like hapen fel emotions dep inside ocean mufle sound come form outer world like drown emotions insult hurt reject cry fel sad like numbnothing make sense make sense like know alive think completely normal slep late eat litle fel tired time able concentrate stupid online test tel symptoms depresion think everybody pretend like diferent type depresion experience hate experience anxiety hate body think depresion nothingnes pretending personality way bear know diferent know felings know want fel strangest feling know time recognize think depresed years know,Depression
think suicide day like years nowi spend life work main focus life suces money go investors found company sel  work startup years make minimal income live savings trust people anymore divorce cause mariage mean properly run new startup time ex take half asets sure put lot extra away yearsit ridiculously hard product god market comparable products raise milions dolars work product probably require team developers maintain try grow businesi tired burn depres things ned work anymore fel go lose everythingthe thing kep go thought product hope day notice able marketing sorted right customersi fel go backwards know go forward easy mode home go value sel beautiful big house divorce rent pay jobs minimal efort iti spend entire wekend work doubt dent people enjoy livesi find partner financialy ruin myselfi want end year old daughter ned devastate go years think try long ned maybe live future lok forward day wake want dieshe hope tel dream house dream bedrom etc say things like dady website get beter think new house etc best house friends rent buy new homesi lok love wish beter dad fel spiral hardest know give morei cal suport line friday go doctor today helpat core think main problem hate value probably fel like deserve love suces derail dosory ramble child love,Depression
strange sided life hi  new subredit redit diagnose avpd far able relate posts parents love rest family dad fuck dad siblings sufer disorder diagnose take mental health seriously family super self centre core exact oposite mom mom siblings cousins kids great fel like outsider teribly buly midle schol reflect behaviour se home start watch porn go years learn build shel prevent people se true self shel harden extent repeat aces person mature kid schol focuse primarily academics best universities home country couple years university realise lot friends truly close friend know colaborate lot people academicaly extracuricular activities get close time think mainly acord norm bag great internships pay job right colege interestingly afect job perform exceptionaly receive great reviews technical interpersonal gues know work ignore remain focuse work decide master got acept graduate schols complete term start notice problem term met talk people like come things talk superficial intimacy conversations fel like people behave diferently talk interested people life extremely exhausting pretend sad outside lok great live best life people lok dream achieve achieve know truth parents post candid life reveal relationship rate afraid want turn life late sure family react therapy money fund end vent details ad post intend brag totaly understand people sufer worse emphasize absolutely perfect sided mes life,Personality disorder
reasurance helo stumble subredit weks ago read help cope health anxiety end laugh anxiety post lengthy apologize recent concern sort colon cancer have unusual bowel movements months changes apearance size etc sory information mention doctor earlier month shrug say try miralax nt notice diference aside change color lose ve recently think ve notice red streaking stol elevate anxiety situation employment ofer telemedicine service cal speak doctor concerns say likely ibs promise fine folow doctor past wek say risk slim major refer gastro doctor apointment nt month wekend decide god idea ez detect test test blod stol litle pieces paper toilet bowel movement change blue gren blod detect supose paper test water color decide skip step test bowel movement yesterday late afternon early evening color change paper satisfied morning decide water test eliminate if mind color change folow water test bowel movement color change control test supose end verify paper work properly come powder change color paper flush pour powder place paper control test instantly turn blue hour later fel bowel movement come decide use final test paper instantly turn faint blue imediately freak minutes later realize powder toilet posible leave water flush notice litle white specks toilet day today lok reasurance likely litle bit left powder health anxiety get best usual,Anxiety
proud hi post sub want share smal suces story hopefuly help ned past sumer active time convince brain tumour bone cancer blod clots bunch isues end start therapy september go great able stop imediately sek reasurance ie go er deal fear death strugle gogling initial wory symptoms honestly start beter anyways fel like major milestone today like big deal health anxiety focus extend people care like family naturaly mom tel find large lump breast shower panic like blow panic imediately think worst shocker especialy months ago goten cal abnormal mamogram bunch image tests sure terible wek wait results excruciating thankfuly benign cysts naturaly bring terible wek wory imediately think despite mamograms ultrasound months ago doctors mis terible disease initial instinct gogle tend sek information times stres help fel like control situation tempt gogle incidence rates breast cancer likelihod breasts cyst vs cancer like intentions reasure know fed anxiety worse despite badly want research force ignore compulsion able rationalize talk fears come logical conclusion ie family history cystic breasts likelihod cyst vs cancer thankfuly family doctor believe cyst se mamogram fil fluid upcoming period send ultrasound safe overal woried despite fel proud manage avoid gogling know harm convince help fel like acomplish hope share encourage ned help therapy godsend smal steps like,Anxiety
today health anxiety level shakily take temperature meat thermometer find human today fel prety okay honestly minus usual stres nes mini depresive episode upset slep late prety solid day ampxb litle voice head go hey gogle symptoms know probably cold sure lok fact experience flush face decide oh god rosacea oh god cushings calm say probably normal notice face flush body fel warm fever right make sense fight cold completely fuck day brain thought litle key word send spiral sepsis lok symptoms sepsis milionth time life take pulse hand take diferent aps check list check blod presure machine alert family weird behavior think fel like low blod presure moment know fel like fel like switch imediately test try temperature know fel skin warm touch naturaly give lot heat heat face neck fel abnormal ned know abnormal tear areas health stuf tear discretely find human thermometers hit meat thermometers quick gogle search efective take usual tongue temperatures sure work clean thermometer stand miror tongue display numbers slowly kep crep upwards suspense throw panic sepsis oh gosh canker sore notice gums swel bit brush teth meal bacteria teth get blod sepsis go die thermometer eventualy plateaud somewhat calmer help fel weary write sorta help ilustrate ridiculous beter handle fear have sepsis past wo,Anxiety
